english,taagra,pos,syn,notes
move,haith,v,"moves, moving, act, acts, acting, maneuver, maneuvers, maneuvering",
moved,haithka,v,"acted, maneuvered",
movement,hai,n,"motion, activity, action, move",
movements,hai'a,n,"motions, activities, actions, moves",
mud,divifiba,n,,"Lit. ""wet dirt"""
muds,divifiba'a,n,,
music,kathil,n,,
musical,kathili,adj,,
must,yuj,v,,
must,yujna,n,"necessity, obligation, requirement, requesite, prerequesite",
musts,yujna'a,n,"necessities, obligations, requirements, requesites, prerequesites",
muzzle,malerdo,n,,
muzzles,malerda,n,,
my,ahziss,pn,,
myself,no,pn,,
name,hasaa,v,"names, naming, identify, identifies, identifying, designate, designates, designating","To name; the noun ""name"" has a different root (nak)"
name,nak,n,,"A name; the verb ""to name"" has a different root (hasaa)"
named,hasaaka,v,"identified, designated","To name; the noun ""name"" has a different root (nak)"
nameless,nakozay,adj,,
names,naka,n,,
narrow,fowe,adj,thin,
nature,o'hama,n,,
near,kranaj,adj/adv/pr/v,,
necessity,maaszi,n,,
neck,gith,n,,
necks,githa,n,,
need,deqe,v,"needs, needing, require, requires, requiring",
need,deqena,n,"requirement, necessity",
needed,deqeka,v,required,
needle,zenabi,n,,
needles,zenaba,n,,
needs,deqena'a,n,"requirements, necessities",
neighbor,sevepajiit,n,,"Lit. ""one who side houses"""
neighborly,sevepajiiti,adj,,
neighbors,sevepajiit,n,,
nephew,redu,n,,
nephews,reda,n,,
nest,esh,n,"den, lair, roost",
nest,eshith,v,"nests, nesting, roost, roosts, roosting",
nested,eshithka,v,roosted,
nests,esha,n,"dens, lairs, roosts",
never,dov'kono,adv,,"Lit. ""No time"""
new,ifa,adj,,
nice,esho,adj,kind,
niece,lisho,n,,
nieces,lisha,n,,
night,tenurr,n,,
nights,tenurra,n,,
nine,vir,n,,
nineth,virtu,adj/adv/n,,Ordinals: number +tu
ninety,virde,n,,
no,dov,adv/n,,
nobody,dovahz,n/pn,noone,"Lit. ""no person"""
noon,kumapal,n,,
nord,tasmiit,n,,"Lit. ""Norther"""
north,tasmi,adj/adv/n,,
nose,betha,n,,
noses,betha'a,n,,
not,#NAME?,suf,,"Verb negation suffix.  Append to the verb to be negated.  e.g. ""I make bread"" is ""Ahziss ras barij"", ""I don't make bread"" is ""Ahziss rasoh barij"""
nothing,zwonil,adj/adv/pn,,
november,magrus'balis,n,Sun's Dusk,"Abbreviation: ""Mb"""
now,dal,adv,"present, current",
number,vevmo,n,,
numbers,vevma,n,,
octagon,ziseve,n,,
octagons,ziseva,n,,
october,owaz'ranj,n,Frost Fall,"Abbreviation: ""Or"""
of,di,pr,,
off,izra,adj/adv/pr,,
offer,idra,v,"offers, offering, proffer, proffers, proffering, present, presents, presenting",
offer,idrana,n,"offering, present",
offered,idraka,v,"proffered, presented",
offers,idrana'a,n,"offerings, presents",
office,zavahit,n,,
officer,trovisiit,n,,
officers,trovisiit,n,,
offices,zavahita,n,,
oil,dojne,n,,The substance
oil,dojnith,v,"oils, oiling",To oil
oily,dojne'i,adj,,
okay,shesko,adj,"adequate, fine, sufficient, satisfactory, passable, acceptable, tolerable, enough, decent, suitable, ok",
old,tarmo,adj,,
on,iso,adv/pr,"upon, onto","Homonym of ""short"""
one,fa,n,,
open,bago,v,"opens, opening",To open
opening,bagona,n,,An opening
opposite,uthevi,adj/adv/n/pr,,
or,yo,cj,,
orange,gijre,n,,Fruit
orange,rovaj,n/adj,,Color
order,trovise,n,rank,
organ,balej,n,,
organs,baleja,n,"guts, viscera, innards, insides, entrails",
orsimer,drelkamer,n,orc,"Lit. ""Metal Elf"""
orsimeri,drelkameri,adj,orcish,
other,vago,adj/pr,,
others,vaga,adj/pr,,
ounce,onz,n,,Borrowed word from Cyrodiilic
ounces,onza,n,,Borrowed word from Cyrodiilic
our,ahzirr,pn,,
ours,ahzirr,pn,,
out,ov,pr,,
outside,ovseve,pr,,
outsider,oviit,n,"foreigner, stranger",
outsiders,oviit,n,"foreigners, strangers",
over,vado,pr,above,
owe,velk,v,"owes, owing",
owed,velkka,v,,
own,wata,v,"owns, owning",
owned,wataka,v,,
ownings,watana,n,"possessions, belongings, property",Irregular
page,khapa,n,,
pages,khapa'a,n,,
paid,bavtoka,v,payed,
pain,ransej,n,,
painful,ranseji,adj,,
painless,ransejozay,adj,,
pains,ranseja,n,,
paint,putuj,n,,A paint
paint,putujith,n,,To paint
painted,putujithka,n,,
painter,putujiit,n,,
painters,putujiit,n,,
paints,putuja,n,,
pants,kraho,n,leggings,
paper,shen,n,"parchment, sheet",
papers,shena,n,"parchments, sheets",
paradise,llesw'er,n,"heaven, sands beyond the stars",
parent,barun,n,,
parents,baruna,n,,
part,trun,n,"piece, portion, bit",
parts,truna,n,"pieces, portions, bits",
pass,labak,v,"passes, passing",To pass
pass,labakna,n,,A pass
passage,avek,n,,
passages,aveka,n,,
passed,labakka,v,,
past,madi,n/adj,"former, previous",Past/Present/Future
pasts,mada,n,,
patient,skrunariit,n,,One who is sick
patients,skrunariit,n,,
pattern,sanvaga,n,,
patterns,sanvaga'a,n,,
pay,bavto,v,"pays, paying",
peace,santi,n,,
peaceful,santi'i,adj,,
peel,qashar,v,"peels, peeling, skin, skinning, skins, flay, flaying, flays, strip, strips, stripping, scalp, scalps, scalping",To remove the outer part
peeled,qasharka,v,"skinned, flayed, stripped, scalped",
pen,durrarr,n,quill,
pens,durrarra,n,quills,
pentagon,vuseve,n,,
pentagons,vuseva,n,,
people,iss,n,,Specifically the Khajiiti people
peoples,issa,n,,
person,ahz,n,individual,"""One"" in the sense of a person vs. the number 1"
persons,ahza,n,individuals,
phallic,tani,adj,,
phallus,tano,n,"penis, dick",
phalluses,tana,n,"phalli, penises, dicks",
pig,pograt,n,"sow, hog, boar",
piglet,ma'pograt,n,,
pigs,pograta,n,"sows, hogs, boars",
pillow,saiso,n,"cushion, pad",
pillows,saisa,n,"cushions, pads",
plan,naqith,v,"plans, planning, scheme, schemes, scheming, design, designs, designing, plot, plots, plotting, strategize, strategizes, strategizing",
plan,naqo,n,"scheme, design, plot, strategy",
planned,naqithka,v,"schemed, designed, plotted, strategized",
plans,naqa,n,"schemes, designs, plots, strategies",
plant,shan,n,,
plants,shana,n,,
plate,sham,n,platter,
plates,shama,n,platters,
play,ketra,v,"plays, playing",
played,ketraka,v,,
playful,ketra'i,adj,,
please,afa,adv/v,"pleases, pleasing",
pleased,afaka,v,,
pleasurable,vuzmi'i,adj,"enjoyable, gratifying",
pleasure,vuzmi,n,"enjoyment, gratification",
pleasureless,vuzmozay,adj,,
pleasures,vuzma,n,,
point,visu,,"barb, thorn, spine, needle",
points,visa,,"barbs, thorns, spines, needles",
pointy,visi,,"pointed, barbed, thorny, thorned, spiny, spined",
poison,gurosh,n,"toxin, venom",A poison
poison,guroshith,v,"poisons, poisoning",To poison
poisoned,guroshithka,v,,
poisons,gurosha,n,"toxins, venoms",
poor,po,adj,,
pork,ba'uho,n,,
port,teport,n,,
ports,teporta,n,,
possibilities,hodina'a,n,"achievabilities, attainabilities, feasibilities, viabilities",
possibilities,kivana'a,n,"probabilities, prospects",
possibility,kivana,n,"likelihood, probability, prospect",
possibilty,hodina,n,"achievability, attainability, feasibility, viability",
possible,hodi,adj,"achievable, attainable, feasible, viable",
pot,uwo,n,"urn, vase, tub, jar, jug",
pots,uwa,n,"urns, vases, tubs, jars, jugs",
pound,pond,n,,Borrowed word from Cyrodiilic
pounds,ponda,n,,
pour,ethaj,v,"pours, pouring",
poured,ethajka,v,,
power,tarj,n,,
powerful,tarji,adj,,
powerless,tarjozay,adj,,
powers,tarja,n,,
praise,beba,v,"praises, praising, admire, admires, admiring, commend, commends, commending, laud, lauds, lauding, extol, extols, extoling",
praise,bebana,n,"acclaim, appreciation, devotion, esteem",
praised,bebaka,v,"admired, commended, lauded, extoled",
praises,bebana'a,n,"acclaims, devotions",
pray,jhazith'dro,v,"prays, praying",
prayed,jhazithka'dro,v,,
prayer,jhaza'dro,n,,
prayers,jhaza'a'dro,n,,
predator,taro,n,,
predators,tara,n,,
predatory,tari,adj,,
predecessor,sunokhiit,n,"forerunner, foregoer","Lit. ""before goer"""
predecessors,sunokhiit,n,"forerunners, foregoers",
prey,sifa,n,quarry,
price,wara,n,"cost, expense, fare, fee, value",Financial value
prices,wara'a,n,"costs, expenses, fares, fees, values",
pride,skai,adj/n,"prideful, proud, dignity",
pride,skaith,v,"prides, priding, dignify, dignifies, dignifying",
prided,skaithka,v,dignified,
priest,siniit,n,"cleric, monk, friar",
priestess,ro'siniit,n,nun,
priestesses,ro'siniit,n,nuns,
priestly,siniiti,n,,
priests,siniit,n,"clerics, monks, friars",
prince,ja'aran,n,,
princes,ja'arana,n,,
princess,ja'ro'aran,n,,
princesses,ja'ro'arana,n,,
prison,ketepaj,n,"jail, dungeon","Lit. ""slavery house"""
prisons,ketepaja,n,"jails, dungeons",
probably,mutemi,adj/adv,"likely, probable",
problem,musha,n,"trouble, issue, difficulty, dilemma, enigma, conundrum",
problematic,mushi,adj,"troublesome, difficult, bothersome, troubling, irksome",
problems,musha'a,n,"troubles, issues, difficulties, dilemmas, enigmas, conundrums",
profitable,kabi,adj,"lucrative, advantageous, beneficial, productive",
promise,wadith,v,"promises, promising, swear, swears, swearing, pledge, pledges, pledging",
promise,wado,n,"oath, pledge",
promised,wadithka,v,"swore, pledged",
promises,wada,n,"oaths, pledges",
prophecies,nabuna'a,n,"foretellings, predictions, premonitions, portents, presages",
prophecy,nabuna,n,"foretelling, prediction, premonition, portent, presage",
prophesize,nabu,v,"prophesizes, prophesizing, foretell, foretells, foretelling, predict, predicts, predicting, portend, portends, protending, presage, presages, presaging",
prophesized,nabuka,v,"foretold, predicted, portended, presaged",
pull,zan,v,"pulls, pulling, drag, drags, dragging, yank, yanks, yanking, haul, hauls, hauling, tow, tows, towing",
pulled,zanka,v,"dragged, yanked, hauled, towed",
puppies,ma'riana,n,pups,
puppy,ma'rian,n,pup,
purple,ajwin,adj/n,,
purples,ajwina,n,,
push,zuth,v,"pushes, pushing, shove, shoves, shoving, thrust, thrusts, thrusting",
pushed,zuthka,v,"shoved, thrusted",
put,nas,v,"puts, putting, place, places, placing, deposit, deposits, depositing, set, sets, setting",Present tense
put,naska,v,"placed, deposited, set",Past tense
quarter,asan,n,,
quarters,asana,n,,
queen,ro'aran,n,,
queens,ro'arana,n,,
question,ganith,v,"questions, questioning",
question,gano,n,inquery,
questioned,ganithka,v,,
questions,gana,n,inqueries,
quiet,fea,adj,,
race,gerjo,n,species,Species
race,zrakesho,n,,Sport
rain,rawl,n,drizzle,The rain
rain,rawlith,v,"rains, raining",To rain
rained,rawlithka,v,,
rains,rawla,n,drizzles,
rainy,rawli,adj,drizzley,
ran,hekoka,v,sprinted,
random,trovisozay,adj,"arbitrary, unplanned, undirected, indiscriminate, nonspecific, haphazard, erratic","Lit. ""orderless"""
randomness,trovisozayna,n,,
reach,utan,v,"reaches, reaching",To reach
reach,utana,n,,A thing's/person's reach
reached,utanka,v,,
reaches,utana'a,n,,
react,miira,v,"reacts, reacting, respond, responds, responding, reply, replies, replying",
reacted,miiraka,v,responded,
reaction,miirana,n,,
reactions,miirana'a,n,,
read,gesh,v,"reads, reading",
read,geshka,v,,Past tense
realization,korudna,n,comprehension,
realizations,korudna'a,n,,
realize,korud,v,"realizes, realizing, comprehend, comprehends, comprehending",
realized,korudka,v,comprehended,
red,veth,adj/n,,
redguard,vethiit,n,,"Lit. ""Red-er"""
reds,vetha,n,,
regret,fus,n,,A regret
regret,fusith,v,"regrets, regretting",To regret
regretful,fusi,adj,regrettable,
regretless,fusozay,adj,without regret,Without regret
regrets,fusa,n,,
regretted,fusithka,v,,
relate,korahzith,v,"relates, relating, bond, bonds, bonding, connect, connects, connecting, associate, associates, associating",
related,korahzithka,v,"connected, associated, bonded",
relationship,korahz,n,"connection, bond, association",
relationships,korahza,n,"connections, bonds, associations",
religion,sina,n,faith,
religions,sina'a,n,faiths,
religious,sina'i,adj,,
remember,anpa,v,"remembers, remembering, recall, recalls, recalling",
remembered,anpaka,v,recalled,
remembrance,anpana,n,,
remind,anpur,v,"reminds, reminding",
reminded,anpurka,v,,
reminder,anpurna,n,"memento, souvenir",
reminders,anpurna'a,n,"mementos, souvenirs",
removal,pratana,n,withdrawal,
removal,pratana'a,n,withdrawals,
remove,prata,v,"removes, removing, withdraw, withdraws, withdrawing",
removed,prataka,v,withdrew,
rest,wano,v,"rests, resting, relax, relaxes, relaxing",
rest,wanona,n,"relaxation, leisure, respite, repose, relief",
rested,wanoka,v,relaxed,
restful,wano'i,adj,leisurely,
restless,wanozay,adj,,
restoration,zalrishaj,n,,School of magic
return,derod,v,"returns, returning",
returned,derodka,v,,
reveal,furo,v,"reveals, revealing, unfold, unfolds, unfolding, expose, exposes, exposing",
revealed,furoka,v,"unfolded, exposed",
rhythm,taanga,n,"pace, cadence, tempo",
rhythmic,taanga'i,adj,,
rhythms,taanga'a,n,"paces, cadences, tempos",
rice,shiwah,n,,
rices,shiwaha,n,,
rich,jheshik,adj,wealthy,
ride,kame,v,"rides, riding",
rider,kamiit,n,,
riders,kamiit,n,,
right,felor,adj/adv/n,,Left/Right
ring,zrasharin,n,,A ring
rings,zrasharina,n,,
risk,khat,n,"danger, hazard, jeopardy, peril",
risk,khatith,v,"risks, risking",
risked,khatithka,v,,
risks,khata,n,"dangers, hazards, jeopardies, perils",
risky,khati,adj,"dangerous, hazardous, perilous",
river,esush,n,,
rivers,esusha,n,,
road,wodro,n,"street, avenue, boulevard, trail",
roads,wodra,n,"streets, avenues, boulevards, trails",
rode,kameka,v,,
roof,thzidi,n,,
roofs,thizda,n,rooves,
room,vos,n,,
rooms,vosa,n,,
root,vasashan,n,tuber,"Lit. ""under plant"""
roots,vasashana,n,tubers,
rot,halku,v,"rots, rotting, spoil, spoils, spoiling, mold, molds, molding",
rotted,halkuka,v,"spoiled, molded",
rotten,halku'i,adj,moldy,
run,heko,v,"runs, running, sprint, sprints, sprinting",
sabaar,cactus,n,,
sabaara,cacti,n,,
sad,booril,adj,depressed,
saddle,shapa,n,,
saddles,shapa'a,n,,
sadness,boorilna,n,"depression, melancholy",
sail,feso,v,"sails, sailing",To sail
sail,fesona,n,,A sail
sailed,fesoka,v,,
sails,fesona'a,n,,
salt,zoth,n,,
salty,zothi,adj,,
same,tataami,adv,,
sand,khaj,n,,"Homonym of ""desert"""
sands,khaja,n,,
sandy,khaji,adj,,
sang,rithaka,v,,
sanguine,sangiin,n,,Sangiin is the Khajiiti name for Sanguine
sank,nuqoka,v,"seeped, sunk",
sat,shijohka,v,,
saturday,alkoshpal,n,loredas,"Abbreviation: ""ap"""
saw,vakoka,v,perceived,
scary,qoji,adj,"frightening, terrifying, unsettling, horrifying, frightening",
school,delapaj,n,university,"Lit. ""learning house"""
schools,delapaja,n,universities,
scratch,toket,v,"scratches, scratching, scrape, scrapes, scraping",
scratched,toketka,v,scraped,
scratchy,toketi,adj,itchy,
sea,maor,n,,
search,oku,v,"searches, searching, look, looks, looking, seek, seeks, seeking",
searched,okuka,v,"looked, sought",
seas,maora,n,,
season,maora,n,,
season,shivatasan,n,,"Lit. ""year quarter"""
seasons,shivatasana,n,,
second,qotu,adj/adv/n,,"Ordinal of two, first/second/third"
second,tukbi,n,,"Time, second/minute/hour"
seconds,tukba,n,,
secret,buzurr,n,,
secrets,buzurra,n,,
see,vako,v,"sees, seeing, perceive, perceives, perceiving",
seed,sekil,n,,A seed
seed,sekilith,v,"seeds, seeding, plant, plants, planting, sow, sows, sowing",To seed
seeded,sekilithka,v,"planted, sowed",
seeds,sekila,n,,
seem,shay,v,"seems, seeming",
seemed,shayka,v,,
sell,baji,v,"sells, selling, peddle, peddles, peddling",
sentence,gelwi,n,"phrase, expression",
sentences,gelwa,n,"phrases, expressions",
september,pajako,n,Hearth Fire,"Abbreviation: ""Pa"""
sergeant,sargat,n,,Borrowed word
sergeants,sargata,n,,
server,dantajiit,n,,
servers,dantajiit,n,,
seven,ruja,n,,
seventh,rujatu,adj/adv/n,,Ordinals: number +tu
seventy,rujade,n,,
sex,zaj,n,"intercourse, coitus, lovemaking, procreation",
sexy,zaji,adj,"seductive, provocative, sensual, racy",
shadow,kodesh,n,,
shadows,kodesha,n,,
shadowy,kodeshi,adj,,
shake,bana,v,"shakes, shaking",
shallow,bure,adj,,
shame,gaj,adj/n,"ashamed, disgrace, embarassment",
shame,gajith,v,"shames, shaming, disgrace, disgraces, disgracing, embarass, embarasses, embarassing",
shamed,gajithka,v,"disgraced, embarassed",
sharp,krakil,adj,,
sharpness,krakilna,n,,
shawl,wuzi,n,"scarf, stole",
shawls,wuza,n,"scarves, stoles",
she,roj,pn,,
she's:,roba,cont,,
sheep,jekos,n,"ewe, ram",
sheep,jekosa,n,"ewes, rams",
sheep-shagger,jekosiit,n,,Insult
sheepish,jekosi,adj,,
sheogorath,sheggorath,n,,Sheggorath is the Khajiiti name for Sheogorath
shied,nimadithka,v,,
shield,qedin,n,,
shields,qedina,n,,
shine,zrim,n,"gleam, luster, glitz, sheen, shimmer",
shine,zrimith,v,"shines, shining, beam, beams, beaming, dazzle, dazzles, dazzling, gleam, gleams, gleaming, glisten, glistens, glistening, glow, glows, glowing, shimmer, shimmers, shimmering",
shiny,zrimi,adj,"gleaming, glossy, lustrous",
ship,zreho,n,"boat, vessel",
ships,zerha,n,"boats, vessels",
shirt,budi,n,"tunic, blouse",
shirts,buda,n,"tunics, blouses",
shoe,zwejra,n,,
shoes,zwejra'a,n,,
shone,zrimithka,v,"beamed, dazzled, gleamed, glistened, glowed, shimmered",
shook,banaka,v,,
shoot,drizo,v,"shoots, shooting",
shop,fash,n,store,A shop
shop,fashith,v,"shops, shopping",To shop
shops,fasha,n,stores,
short,iso,adj,,"Homonym of ""on"""
shot,drizoka,v,,
should,aso,v,ought,
shoulder,keku,n,,
shoulders,keka,n,,
shudder,udurr,v,"shudders, shuddering, shiver, shivers, shivering, tremble, trembles, trembling",
shuddered,udurrka,v,"shivered, trembled",
shy,nimad,adj,"timid, bashful, coy, reserved, reticent, demure",
shy,nimadith,v,,
shyness,nimadna,n,"timidity, bashfulness, coyness, reservation, reticence, demureness",
sibling,aaliter,n,,
siblings,aalitera,n,,
sick,skrunar,adj,,
side,seve,n,,
sides,seva,n,,
siege,zrashadat,n,,
siege,zrashadith,v,"sieges, sieging",
sieged,zrashadithka,v,,
sieges,zrashadata,n,,
sight,vakona,n,vision,
sights,vakona'a,n,visions,
sign,zwintan,v,"signs, signing, autograph, autographs, autographing",
silence,sashaana,n,,
silent,sashaa,adj,,
silk,harir,n,,
silks,harira,n,,
silky,hariri,adj,,
silver,sejdah,n,,
silvers,sejdaha,n,,
silvery,sejdahi,adj,,
simple,baso,adj,"easy, plain, humble, modest, clear",
simplicity,basona,n,"ease, plainness, humility, modesty, clarity",
simplified,basithka,v,"clarified, elucidated",
simplify,basith,v,"clarify, elucidate",
sin,moraz,n,"wrongdoing, crime","A moral wrongdoing as opposed to simple ""crime"" as would be understood by humans"
sin,morazith,v,"sins, sinning",
since,eta,pr,,
sing,ritha,v,"sings, singing",
sink,nuqo,v,"sinks, sinking",
sinned,morazithka,v,,
sinner,moraziit,n,criminal,
sinners,moraziit,n,criminals,
sins,moraza,n,"wroingdoings, crimes",
sister,roliter,n,,
sisterly,roliteri,adj,,
sisters,rolitera,n,,
sit,shijoh,v,"sits, sitting",
six,sho,n,,
sixth,shotu,adj/adv/n,,Ordinals: number +tu
sixty,shode,n,,
skeleton,shupoma,n,,"Lit. ""body bones"""
skeletons,shupoma'a,n,,
skies,ayatha,n,,
skill,khito,n,"ability, talent, capability, competence, expertise, proficiency, qualification",
skillful,khiti,adj,"talented, capable, competent, expert, proficient, qualified, skilled",
skills,khita,n,"abilities, talents, capabilities, competencies, proficiencies, qualifications",
skin,jijri,n,,
skinniness,nafina,n,"thinness, scrawniness, emaciation, leanness, slimness, boniness, slenderness",
skinny,nafi,adj,"thin, scrawny, emaciated, lean, slim, gaunt, bony, underweight, lanky, slender",
skins,jijra,n,,
sky,ayath,n,,
slave,ketiit,n,,
slavery,kete,n,,
slaves,ketiit,n,,
sleek,kasi,adj,,
sleep,zaigu,v,"sleeps, sleeping",To sleep
sleep,zaiguna,n,,
sleepless,zaigozay,adj,,
sleepy,zaigu'i,adj,,
slept,zaiguka,v,,
slow,fumba,adj,,
small,bishu,adj,little,
smart,yasir,adj,intelligent,
smarts,yasirna,n,intelligence,
smell,aki,v,"smells, smelling",
smelled,akika,v,,
smelly,aki'i,adj,"stinky, pungent",
smile,krimir,v,"smiles, smiling",To smile
smiled,krimirka,v,,
sneak,zalva,v,"sneaks, sneaking, stalk, stalks, stalking, skulk, skulks, skulking, creep, creeps, creeping, slink, slinks, slinking",
sneaked,zalvaka,v,"snuck, stalked, skulked, crept, creeped, slinked",
sneaker,zalviit,n,"stalker, skulker, creeper, slinker",
sneakers,zalviit,n,"stalkers, skulkers, creepers, slinkers",
sneaky,zalvi,adj,"shifty, sly",
snow,owaz,n,,The snow
snow,owazith,v,"snows, snowing",To snow
snowed,owazithka,v,,
snows,owaza,n,,
snowy,owazi,adj,,
so,opa,adv/cj,,
soap,epusho,n,,
soaps,epusha,n,,
soapy,epusho'i,adj,,
soft,linu,adj,,
softness,linuna,n,,
soil,fama,n,,
soils,fama'a,n,,
sold,bajika,v,peddled,
soldier,rakiit,n,"fighter, guard, trooper, warrior",
soldiers,rakiit,n,"fighters, guards, troopers, warriors",
solution,rathana,n,"resolution, solution",
solutions,rathana'a,n,"resolutions, solutions",
solve,ratha,v,"solves, solving, resolve, resolves, resolving, unravel, unravels, unraveling, settle, settles, settling",
solved,rathaka,v,"resolved, unraveled, settled",
some,ega,adv/det/pn,,
someone,egahz,pn,,
something,egasatil,pn,,
sometimes,egakona,adj/adv,"sometime, occasionally, periodically, sporadically, spasmodically, intermittently",
son,jor,n,,
song,rithana,n,,
songs,rithana'a,n,,
sons,jora,n,,
sorrow,uradana,n,apology,
sorry,urada,adj,,
sound,sun,n,,
sounds,suna,n,,
soup,shamep,n,,
soups,shamepa,n,,
soupy,shamepi,adj,,
sour,qali,adj,,
south,zede,n,,
space,iken,n,"area, zone, gap",A space
space,ikenith,v,"spaces, spacing, spread, spreads, spreading",To space
spaced,ikenithka,v,,
spaces,ikena,n,"areas, zones, gaps",
spacious,ikeni,adj,roomy,
speak,pur,v,"speaks, speaking, say, says, saying, tell, tells, telling, talk, talks, talking, chat, chats, chatting",
speaker,puriit,n,"talker, lecturer, orator, chatter",
speakers,puriit,n,"talkers, lecturers, orators, chatters",
spear,sutakhrass,n,"polearm, halberd, lance","Lit. ""longclaw"""
spears,sutakhrassa,n,"polearms, halberds, lances",
spice,seduv,n,seasoning,A spice
spice,seduvith,v,"spices, spicing",To spice
spiced,seduvithka,v,,
spices,seduva,n,seasonings,
spicy,seduvi,adj,,
spill,boha,v,"spills, spilling, splash, splashes, splashing",
spilled,bohaka,v,splashed,
spirit,athra,n,"ghost, soul",
spirits,athra'a,n,"ghosts, souls",
spiritual,athra'i,adj,ghostly,
spiritual,athra'i,adj,,
spoke,purka,v,"said, told, talked, chatted",
spoon,aypo,n,ladle,
spoons,aypa,n,ladles,
sport,kajarr,n,competition,
sports,kajarra,n,competitions,
spouse,aatot,n,mate,
spouses,aatota,n,mates,
spring,projle,n,,The season
square,sanseve,n,,
squares,sanseva,n,,
squeak,kiitsi,v,"squeaks, squeaking, squeal, squeals, squealing",
squeaked,kiitsika,v,squealed,
squeaky,kiitsi'i,adj,,
squire,ja'pelin,n,,
squires,ja'pelina,n,,
stain,batodashi,n,dye,A stain
stain,batodashith,v,"stains, staining",To stain
stains,batodasha,n,dyes,
stamina,neroth,n,"endurance, fortitude, constitution",
stand,shij,v,"stands, standing",
star,silla,n,,
starry,silla'i,adj,,
stars,silla'a,n,,
start,bida,v,"starts, starting, begin, begins, beginning, initiate, initiating, initiates, commence, commencing, commences, launch, launching, launches",
start,bidana,n,"beginning, initiation, commencement, launch",
started,bidaka,v,"started, began, initiated, commenced, launched",
starts,bidana'a,n,"beginnings, initiations, commencements, launches",
stay,maal,v,"stays, staying, remain, remains, remaining, linger, lingers, lingering",
stayed,maalka,v,"remained, lingered",
steal,dar,v,"steals, stealing",
steam,ja'esush,n,,
steams,ja'esusha,n,,
steel,ra'hara,n,,
stendarr,s'rendarr,n,,S'rendarr is the Khajiiti name for Stendarr
stick,kenibi,n,branch,
sticks,keniba,n,branches,
still,yesho,adv,,"Up to and including the present or the time mentioned; even now (or then) as formerly.  Not a synonym for ""motionless""."
stir,dajo,v,"stirs, stirring, stimulate, stimulates, stimulating, rouse, rouses, rousing, agitate, agitates, agitating",
stir,dajona,n,"stimulation, arousal, agitation",
stirred,dajoka,v,"stimulated, roused, excited, agitated",
stirring,daji,adj,"stimulating, rousing, agitating",
stirs,dajona'a,n,"stimulations, arousals, agitations",
stole,darka,v,,
stone,kethba,n,"rock, boulder",
stone(measure),ston,n,,Borrowed word from Cyrodiilic
stones,kethba'a,n,"rocks, boulders",
stony,kethba'i,adj,,
stood,shijka,v,,
stop,dok,v,"stops, stopping, halt, halts, halting",
stopped,dokka,v,,
stories,purna'a,n,"talks, chats",
storm,torfith,v,"storms, storming, rage, raging, rages",
storm,torfo,n,tempest,
stormed,forfithka,v,,
storms,torfa,n,tempests,
stormy,torfi,adj,"wild, tempestuous, turbulent",
story,purna,n,"talk, chat",
straight,kowi,adj/adv/n,,
strangler,droqoshan,n,,Strangler plant
stranglers,droqoshan,n,,
strength,zegatana,n,,
strengths,zegatana'a,n,,
strike,tak,n,"hit, beat, punch",A strike
strike,takith,v,"strikes, striking, hit, hits, hitting, beat, beats, beating, punch, punches, punching",To strike
strikes,taka,n,"hits, beats, punches",
strong,zegata,adj,,
struck,takithka,v,punched,
student,deliit,n,"pupil, apprentice, disciple, novice",
students,deliit,n,"pupils, apprentices, disciples, novices",
stupid,wafa,adj,"dumb, moronic, idiotic",
stupidity,wafana,n,,
submission,mezaina,n,,
submissive,mezai'i,adj,,
submit,mezai,v,"submits, submitting",
submitted,mezaika,v,,
submitter,meziit,n,,
succeed,yajo,v,"succeeds, succeeding, win, wins, winning, triumph, triumphs, triumphing, accomplish, accomplishes, accomplishing",
succeeded,yajoka,v,"won, triumphed, accomplished",
success,yajona,n,"victory, triumph, accomplishment",
successes,yajona'a,n,"victories, triumphs, accomplishments",
successful,yaji,adj,"winning, triumphant, victorious",
sugar,var,n,,"Homonym of ""life"""
sugarless,varozay,adj,,
sugars,vara,n,,
summer,letos,n,,
sun,magrus,n,,
sunday,magrupal,n,sundas,"Abbreviation: ""mgp"""
suspect,zitra,v,"suspects, suspecting, suppose, supposes, supposing, surmise, surmises, surmising, question, questions, questioning",
suspected,zitraka,v,"supposed, surmised, questioned",
suspicion,zitrana,n,supposition,
suspicions,zitrana'a,n,suppositions,
suspicious,zitri,adj,"doubtful, questionable",
swam,baluka,v,swum,
sweat,mehig,n,,
sweep,sipul,v,"sweeps, sweeping",
sweet,vari,adj,sugary,
sweeten,koomurr,v,"sweetens, sweetening",
sweetened,koomurrka,v,,
swept,sipulka,v,,
swim,balu,v,"swims, swimming",
sword,khelij,n,,
swords,khelija,n,,
table,rhalar,n,desk,
tables,rhalara,n,desks,
tail,zeva,n,,
tailor,budiit,n,"clothier, outfitter",
tailors,budiit,n,"clothiers, outfitters",
tails,zeva'a,n,,
take,traajir,v,"takes, taking",
take (by force),traajijazeri,v,"seize, seizes, seizing, wrest, wrests, wresting, wrench, wrenches, wrenching, usurp, usurps, ururping, extort, extorts, extorting",
tall,apolt,adj,,
taste,zashto,v,"tastes, tasting",To taste
taste,zashtona,n,,A taste
tasted,zashtoka,v,,
tastes,zashtona'a,n,,
tasty,zashto'i,adj,,
